Country,EV_sales_share,EV_stock_share,EV_stock,Public_slow_chargers,Public_fast_chargers,Population,Population_year,GDP_per_capita_PPP,GDP_per_capita_PPP_year,Electric_power_consumption,Electric_power_consumption_year,Low_carbon_electricity_share,Low_carbon_electricity_share_year,Renewable_installed_capacity_share,Renewable_generation_share,Total_public_chargers,EV_stock_per_1000_people,Total_public_chargers_per_1000_EVs,Slow_chargers_per_100000_people,Fast_chargers_per_100000_people
Australia,13.0,1.9,302089.0,2800.0,3900.0,27196812.0,2024.0,60303.9817116245,2024.0,9800.04568182477,2024.0,35.07669,2024.0,52.10758490727654,38.1,6700.0,11.107515101402326,22.17889429936211,10.295324319629815,14.339916016627242
Austria,24.0,5.3,275062.0,21000.0,6300.0,9177982.0,2024.0,63788.078678479,2024.0,7896.83396633378,2024.0,86.22404,2024.0,64.92227676484339,87.9,27300.0,29.969768953567353,99.2503508299947,228.80846791811098,68.6425403754333
Belgium,43.0,11.0,670100.0,72000.0,2600.0,11858610.0,2024.0,63347.7858809235,2024.0,7098.80837636114,2024.0,76.345215,2024.0,56.031811609171655,37.63,74600.0,56.50746588343828,111.32666766154304,607.1537895250793,21.924997955072307
Brazil,6.4,0.7,214003.0,12000.0,600.0,211998573.0,2024.0,19652.3654991704,2024.0,3068.09612345834,2024.0,89.44913,2024.0,80.75932444068462,88.21,12600.0,1.0094549079818569,58.877679284869835,5.660415459494626,0.2830207729747313
Bulgaria,5.0,2.7,240483.0,12000.0,4400.0,6441421.0,2024.0,34221.5294617032,2024.0,5360.50343468088,2023.0,71.12272,2024.0,43.1703428115865,30.28,16400.0,37.333842951733786,68.19608870481488,186.29429748498043,68.30790907782615
Canada,17.0,4.2,860320.0,26000.0,6600.0,41288599.0,2024.0,56706.8238031978,2024.0,14084.4933973177,2024.0,77.694374,2024.0,68.74266730885604,66.22,32600.0,20.83674478758652,37.892877068997585,62.971378612289556,15.985042263119658
Chile,2.1,0.26,11302.0,1200.0,610.0,19764771.0,2024.0,30182.7871224714,2024.0,4373.3873769648,2024.0,70.04062,2024.0,62.6754856082194,70.04,1810.0,0.5718254969915917,160.14864625729962,6.071408568305699,3.086299355555397
China,48.0,11.0,34000820.0,1900000.0,1600000.0,1408975000.0,2024.0,23845.6197217259,2024.0,6523.71926193193,2023.0,38.165222,2024.0,53.84694204821778,34.25,3500000.0,24.131599212193258,102.93869383150171,134.8498021611455,113.55772813570148
Colombia,7.4,0.79,28500.0,980.0,120.0,52886363.0,2024.0,18477.2146664536,2024.0,1551.19383043981,2024.0,61.34171,2024.0,75.54126689104336,72.01,1100.0,0.5388912828057395,38.59649122807018,1.8530296742092098,0.22690159276031138
Costa Rica,15.0,1.9,22470.0,1200.0,170.0,5129910.0,2024.0,26973.4361580719,2024.0,2282.30124894979,2024.0,99.90909,2024.0,85.13150831991412,99.91,1370.0,4.380193804569671,60.970182465509566,23.39222325537875,3.31389829451199
Croatia,4.9,2.7,240483.0,12000.0,4400.0,3866200.0,2024.0,42829.1978370384,2024.0,4484.04352063873,2023.0,73.44669,2024.0,69.06572056090556,72.72,16400.0,62.20138637421758,68.19608870481488,310.382287517459,113.80683875640163
Cyprus,12.0,2.7,240483.0,12000.0,4400.0,1358282.0,2024.0,52635.58203125,2024.0,3841.70423858864,2023.0,24.006908,2024.0,37.2402327514547,24.02,16400.0,177.04939033278805,68.19608870481488,883.4689703610885,323.9386224657324
Czech Republic,6.8,2.7,240483.0,12000.0,4400.0,10905028.0,2024.0,47963.8968485782,2024.0,5876.92209501892,2024.0,57.684387,2024.0,27.473603542234333,18.44,16400.0,22.05248808164454,68.19608870481488,110.04098293007593,40.34836040769451
Denmark,56.0,17.0,460230.0,27000.0,6400.0,5976992.0,2024.0,71431.2926242287,2024.0,6165.47587816748,2024.0,89.18996,2024.0,64.72106697260863,89.63,33400.0,77.00027037011259,72.5724094474502,451.73224257285267,107.07727231356508
Estonia,10.0,2.7,240483.0,12000.0,4400.0,1372341.0,2024.0,41189.6675300734,2024.0,5297.51716227964,2024.0,55.750797,2024.0,56.577595066803696,63.36,16400.0,175.23560106416699,68.19608870481488,874.4182386156211,320.6200208257277
Finland,50.0,8.3,260001.0,12000.0,4400.0,5619911.0,2024.0,56123.1479579839,2024.0,14819.2738283578,2024.0,95.34827,2024.0,56.25,56.7,16400.0,46.26425578625711,63.07668047430587,213.52651314228999,78.29305481883966
France,24.0,4.4,1751600.0,120000.0,32000.0,68551653.0,2024.0,54799.3482689389,2024.0,6447.21141881145,2024.0,94.89835,2024.0,43.56371637959435,28.08,152000.0,25.55153556982791,86.77780315140443,175.0504834653659,46.68012892409757
Germany,19.0,6.5,3102300.0,120000.0,37000.0,83516593.0,2024.0,62554.5547232436,2024.0,6109.08541252395,2024.0,58.64231,2024.0,61.91382598165443,56.99,157000.0,37.14591183095795,50.60761370596009,143.6840221679062,44.30257350177108
Greece,12.0,1.2,45000.0,5000.0,1000.0,10405134.0,2024.0,37474.2798239947,2024.0,4685.95599057158,2024.0,49.229153,2024.0,61.11673002476197,47.54,6000.0,4.324788128629579,133.33333333333334,48.05320142921754,9.610640285843507
Hungary,12.0,2.7,240483.0,12000.0,4400.0,9562065.0,2024.0,40686.9319263343,2024.0,4812.45421360344,2024.0,73.63158,2024.0,52.00579115642154,33.04,16400.0,25.14969308407755,68.19608870481488,125.49590491175286,46.01516513430938
Iceland,42.0,18.0,53000.0,2100.0,940.0,386506.0,2024.0,67310.0573573616,2024.0,48997.9456981263,2024.0,100.0,2024.0,100.0,99.98,3040.0,137.12594371109373,57.35849056603774,543.3292109307488,243.20450394043044
India,2.1,0.48,240483.0,47000.0,28000.0,1450935791.0,2024.0,9818.04270686639,2024.0,1181.63126786529,2023.0,22.493763,2024.0,38.40495992172506,20.08,75000.0,0.16574337850902182,311.87235688177543,3.2392887605044955,1.929789048811189
Indonesia,7.3,0.59,78540.0,940.0,2300.0,283487931.0,2024.0,14470.4372020578,2024.0,1445.21463483986,2023.0,18.089573,2024.0,13.602562177851174,17.46,3240.0,0.2770488314015738,41.252864782276546,0.3315837808982422,0.8113220170914437
Ireland,25.0,2.7,240483.0,12000.0,4400.0,5395790.0,2024.0,119037.731175443,2024.0,6298.24363068244,2024.0,46.525097,2024.0,51.61744022503516,46.91,16400.0,44.56863591800274,68.19608870481488,222.3956084280522,81.54505642361916
Israel,21.0,5.9,228000.0,6500.0,2600.0,9974400.0,2024.0,47338.8424624205,2024.0,7206.44850818094,2024.0,13.80597,2024.0,25.190582487469992,10.5,9100.0,22.85851780558229,39.91228070175438,65.16682707731793,26.066730830927174
Italy,7.9,1.5,600060.0,49000.0,11000.0,58952704.0,2024.0,53265.0032474189,2024.0,5136.67702163416,2024.0,50.17193,2024.0,49.89796966983279,49.84,60000.0,10.17866797085338,99.9900009999,83.11747668096785,18.65902537736013
Japan,2.8,1.0,628100.0,24000.0,10000.0,123975371.0,2024.0,46106.9229230044,2024.0,7530.06014396198,2024.0,31.28917,2024.0,35.75354951201286,25.12,34000.0,5.066328859786191,54.131507721700366,19.35868375017809,8.066118229240871
Jordan,12.0,2.7,240483.0,720.0,180.0,11552876.0,2024.0,9520.25064497454,2024.0,1857.90753262484,2023.0,24.081114,2024.0,36.63619252487228,24.09,900.0,20.81585572285204,3.742468282581305,6.232214385404985,1.5580535963512463
South Korea,9.2,2.8,653000.0,370000.0,47000.0,51751065.0,2024.0,55070.9386194121,2024.0,11350.1625522103,2024.0,39.890945,2024.0,21.15979413716676,9.69,417000.0,12.618097811127173,638.5911179173047,714.9611317177723,90.81938700198731
