Country,EV_sales_share,EV_stock_share,EV_stock_per_1000_people,Total_public_chargers_per_1000_EVs,Slow_chargers_per_100000_people,Fast_chargers_per_100000_people,GDP_per_capita_PPP,Electric_power_consumption,Low_carbon_electricity_share,Renewable_installed_capacity_share,Renewable_generation_share
Australia,13.0,1.9,11.107515101402326,22.17889429936211,10.295324319629815,14.339916016627242,60303.9817116245,9800.04568182477,35.07669,52.10758490727654,38.1
Austria,24.0,5.3,29.969768953567353,99.2503508299947,228.80846791811098,68.6425403754333,63788.078678479,7896.83396633378,86.22404,64.92227676484339,87.9
Belgium,43.0,11.0,56.50746588343828,111.32666766154304,607.1537895250793,21.924997955072307,63347.7858809235,7098.80837636114,76.345215,56.031811609171655,37.63
Brazil,6.4,0.7,1.0094549079818569,58.877679284869835,5.660415459494626,0.2830207729747313,19652.3654991704,3068.09612345834,89.44913,80.75932444068462,88.21
Bulgaria,5.0,2.7,37.333842951733786,68.19608870481488,186.29429748498043,68.30790907782615,34221.5294617032,5360.50343468088,71.12272,43.1703428115865,30.28
Canada,17.0,4.2,20.83674478758652,37.892877068997585,62.971378612289556,15.985042263119658,56706.8238031978,14084.4933973177,77.694374,68.74266730885604,66.22
Chile,2.1,0.26,0.5718254969915917,160.14864625729962,6.071408568305699,3.086299355555397,30182.7871224714,4373.3873769648,70.04062,62.6754856082194,70.04
China,48.0,11.0,24.131599212193258,102.93869383150171,134.8498021611455,113.55772813570148,23845.6197217259,6523.71926193193,38.165222,53.84694204821778,34.25
Colombia,7.4,0.79,0.5388912828057395,38.59649122807018,1.8530296742092098,0.22690159276031138,18477.2146664536,1551.19383043981,61.34171,75.54126689104336,72.01
Costa Rica,15.0,1.9,4.380193804569671,60.970182465509566,23.39222325537875,3.31389829451199,26973.4361580719,2282.30124894979,99.90909,85.13150831991412,99.91
Croatia,4.9,2.7,62.20138637421758,68.19608870481488,310.382287517459,113.80683875640163,42829.1978370384,4484.04352063873,73.44669,69.06572056090556,72.72
Cyprus,12.0,2.7,177.04939033278805,68.19608870481488,883.4689703610885,323.9386224657324,52635.58203125,3841.70423858864,24.006908,37.2402327514547,24.02
Czech Republic,6.8,2.7,22.05248808164454,68.19608870481488,110.04098293007593,40.34836040769451,47963.8968485782,5876.92209501892,57.684387,27.473603542234333,18.44
Denmark,56.0,17.0,77.00027037011259,72.5724094474502,451.73224257285267,107.07727231356508,71431.2926242287,6165.47587816748,89.18996,64.72106697260863,89.63
Estonia,10.0,2.7,175.23560106416699,68.19608870481488,874.4182386156211,320.6200208257277,41189.6675300734,5297.51716227964,55.750797,56.577595066803696,63.36
Finland,50.0,8.3,46.26425578625711,63.07668047430587,213.52651314228999,78.29305481883966,56123.1479579839,14819.2738283578,95.34827,56.25,56.7
France,24.0,4.4,25.55153556982791,86.77780315140443,175.0504834653659,46.68012892409757,54799.3482689389,6447.21141881145,94.89835,43.56371637959435,28.08
Germany,19.0,6.5,37.14591183095795,50.60761370596009,143.6840221679062,44.30257350177108,62554.5547232436,6109.08541252395,58.64231,61.91382598165443,56.99
Greece,12.0,1.2,4.324788128629579,133.33333333333334,48.05320142921754,9.610640285843507,37474.2798239947,4685.95599057158,49.229153,61.11673002476197,47.54
Hungary,12.0,2.7,25.14969308407755,68.19608870481488,125.49590491175286,46.01516513430938,40686.9319263343,4812.45421360344,73.63158,52.00579115642154,33.04
Iceland,42.0,18.0,137.12594371109373,57.35849056603774,543.3292109307488,243.20450394043044,67310.0573573616,48997.9456981263,100.0,100.0,99.98
India,2.1,0.48,0.16574337850902182,311.87235688177543,3.2392887605044955,1.929789048811189,9818.04270686639,1181.63126786529,22.493763,38.40495992172506,20.08
Indonesia,7.3,0.59,0.2770488314015738,41.252864782276546,0.3315837808982422,0.8113220170914437,14470.4372020578,1445.21463483986,18.089573,13.602562177851174,17.46
Ireland,25.0,2.7,44.56863591800274,68.19608870481488,222.3956084280522,81.54505642361916,119037.731175443,6298.24363068244,46.525097,51.61744022503516,46.91
Israel,21.0,5.9,22.85851780558229,39.91228070175438,65.16682707731793,26.066730830927174,47338.8424624205,7206.44850818094,13.80597,25.190582487469992,10.5
Italy,7.9,1.5,10.17866797085338,99.9900009999,83.11747668096785,18.65902537736013,53265.0032474189,5136.67702163416,50.17193,49.89796966983279,49.84
Japan,2.8,1.0,5.066328859786191,54.131507721700366,19.35868375017809,8.066118229240871,46106.9229230044,7530.06014396198,31.28917,35.75354951201286,25.12
Jordan,12.0,2.7,20.81585572285204,3.742468282581305,6.232214385404985,1.5580535963512463,9520.25064497454,1857.90753262484,24.081114,36.63619252487228,24.09
South Korea,9.2,2.8,12.618097811127173,638.5911179173047,714.9611317177723,90.81938700198731,55070.9386194121,11350.1625522103,39.890945,21.15979413716676,9.69
Latvia,12.0,2.7,128.8676422359929,68.19608870481488,643.0440849589845,235.78283115162765,37611.6699359404,3767.70246778885,73.45972,66.29866356769321,71.6
Lithuania,12.0,2.7,83.26172203645217,68.19608870481488,415.4724718326975,152.33990633865577,47165.3665643051,4387.04307549343,84.303116,62.19789023901723,90.65
Malaysia,3.6,0.5,1.743730530397757,32.41778623614986,1.9967560869351604,3.65603227185311,34116.2317848885,5083.71249369916,20.366444,24.298873579144537,19.62
Mexico,2.2,0.3,0.519635310463414,27.205882352941178,1.222671318737445,0.1910423935527258,22039.6287019016,2658.04923845649,24.581902,34.17746939923084,19.07
Netherlands,48.0,11.0,54.50361616996374,191.6978515565254,1000.3620754956586,44.46053668869594,70498.8840396071,6386.36706563515,53.65814,59.57014420653888,53.03
New Zealand,11.0,3.3,21.378345153664302,12.739078893823317,6.430260047281323,20.803782505910167,49316.3999433708,7992.62411347518,85.98046,78.59992745738121,85.99
