Country,EV_sales_share,EV_stock_share,EV_stock_per_1000_people,Total_public_chargers_per_1000_EVs,Slow_chargers_per_100000_people,Fast_chargers_per_100000_people,GDP_per_capita_PPP,Electric_power_consumption,Low_carbon_electricity_share,Renewable_installed_capacity_share,Renewable_generation_share
Australia,0.5331923983943319,0.29155715546962396,0.4734479666842325,0.32353111911831106,0.3255221760931335,0.45564578036202674,0.4637043403543383,0.5678611454388021,0.24677718398826462,0.44567320166008706,0.3146527854690442
Austria,0.6761328020185693,0.5175783054007589,0.6574087951394373,0.6221337702320076,0.7786389909698644,0.7253853447492562,0.49551749885632923,0.5098865909592258,0.8401750098005627,0.5939957929381547,0.8662088824897552
Belgium,0.8154974216392656,0.7052955163908387,0.7786351040427273,0.6453259485477374,0.9250000317521515,0.5272776937630606,0.49149720186426127,0.4812831759872056,0.725563533808548,0.49109383913284665,0.30944733636061583
Brazil,0.37601293352218074,0.13596565549794376,0.1216677039443478,0.5170484832852835,0.2460828116664438,0.013262782287009757,0.09251596005604823,0.2560759053719326,0.8775916383072007,0.7773003917208429,0.8696422638165908
Bulgaria,0.32431134484866164,0.36253032209747305,0.6991926932521034,0.5465412511457524,0.7478735568902918,0.724526594437416,0.22554644881422928,0.40587526148645114,0.6649735486320805,0.342229832030451,0.2280429726437036
Canada,0.5951479691620356,0.4616756863806878,0.5889674241215486,0.42906544849341094,0.586313087087272,0.4738091368489639,0.430858826642708,0.6652432087560132,0.7412161143875046,0.6382145873875575,0.6260936980839517
Chile,0.16151600799074123,0.04870904736706394,0.07355628913959546,0.7189181051988673,0.2550881004974603,0.21979910864471675,0.18866884425585753,0.35123647673413183,0.6524193148875856,0.567990494479547,0.6684018163694762
China,0.8420311916172136,0.7052955163908387,0.6164937992932586,0.6295009558060103,0.6995772164365422,0.8141213702694976,0.1308044068158229,0.4586009591029545,0.2826095032335766,0.4658052470631202,0.2720124044744711
Colombia,0.4072605396479838,0.15099433796021275,0.06940859065707064,0.4327213195858893,0.1185783971010551,0.005288660155106435,0.08178570195455853,0.07301914693664147,0.551496896014724,0.7169044160857464,0.6902204009303357
Costa Rica,0.566111374443775,0.29155715546962396,0.3145751614601601,0.5240524877885226,0.44130712490552737,0.22946287679750427,0.15936438117969465,0.17665693060026877,0.9989452865819131,0.827905872501763,0.9992247203455532
Croatia,0.3201679511908657,0.36253032209747305,0.797127739891429,0.5465412511457524,0.8243250685494444,0.8145086507013322,0.3041427453473704,0.35794467631291216,0.6919356247758691,0.6419537405406236,0.6980839517111529
Cyprus,0.5149228475984304,0.36253032209747305,0.9999999999999999,0.5465412511457524,0.9813316965009136,1.0,0.39368447098525516,0.3164383690493251,0.11834854455697222,0.2735922634912187,0.15871082068889136
Czech Republic,0.3889909888520824,0.36253032209747305,0.5995797367160278,0.5465412511457524,0.6692501097724397,0.632434600640094,0.35102748910397363,0.4305684626108812,0.5090656162613583,0.16054922129678226,0.09690995680584782
Denmark,0.8793135757250061,0.8234175780923092,0.8383366446745362,0.559045808888565,0.8806146016607146,0.8037390533696254,0.5653073982288163,0.44343727498716223,0.8745848175331865,0.5916669068356646,0.8853693653782256
Estonia,0.8518935515171168,0.6310390700634109,0.7402126059464217,0.530868415119865,0.7682899207069664,0.7485230531666434,0.42552930442957126,0.6788978512062274,0.9460318771497285,0.4936192426208239,0.5206556650791893
Finland,0.6761328020185693,0.47267038176008497,0.6272592806872129,0.5950427104570661,0.7385625849478231,0.6578378542666437,0.41344173920589256,0.4554336782192996,0.9408120260765158,0.346782901865897,0.2036770406468047
