country,year,installed_capacity_mw,generation_gwh,renewable_installed_capacity_mw,renewable_installed_capacity_share_pct,renewable_generation_gwh,renewable_generation_share_pct,renewable_generation_change_pct_points,source_url
United States,2024,1283644,4392552,451219,35.15141269697829,1068551,24.33,1.34,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
United Kingdom,2024,114640,267980,57947,50.546929518492675,140765,52.53,2.24,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Germany,2024,287372,490177,177923,61.91382598165443,279331,56.99,2.48,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
France,2024,160877,537227,70084,43.56371637959435,150862,28.08,-0.08,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Japan,2024,353288,907015,126313,35.75354951201286,227883,25.12,-0.41,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Spain,2024,129459,262412,85619,66.1359967248318,149114,56.82,6.42,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Italy,2024,136234,258845,67978,49.89796966983279,129012,49.84,5.1,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Portugal,2024,26601,45782,16614,62.45629863538965,39989,87.35,11.33,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Greece,2024,28673,53529,17524,61.116730024761964,25446,47.54,-1.57,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Ireland,2024,12798,30580,6606,51.61744022503516,14345,46.91,2.4,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
United Arab Emirates,2024,45529,169025,6144,13.494695688462299,9125,5.4,0.43,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Afghanistan,2024,656,987,521,79.42073170731707,856,86.79,0.15,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Antigua and Barbuda,2024,145,366,16,11.03448275862069,26,7.16,0.79,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Albania,2024,2644,8339,2511,94.9697428139183,8339,100.0,0.0,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Armenia,2024,4035,9028,1839,45.57620817843866,2883,31.93,3.95,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Angola,2024,6860,15596,4142,60.37900874635569,11496,73.71,-0.37,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Argentina,2024,48719,147465,16604,34.08115930129929,55249,37.47,5.31,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Austria,2024,34224,71525,22219,64.92227676484339,62874,87.9,0.96,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Australia,2024,116745,270109,60833,52.10758490727654,102916,38.1,2.49,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Azerbaijan,2024,8421,27832,1724,20.472627953924714,3267,11.74,5.19,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Bosnia and Herzegovina,2024,4875,15716,2309,47.36410256410256,5923,37.69,-1.91,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Barbados,2024,322,1102,70,21.73913043478261,100,9.08,1.01,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Bangladesh,2024,22921,101748,1124,4.903800008725623,1926,1.89,0.18,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Belgium,2024,29046,72375,16275,56.031811609171655,27234,37.63,2.32,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Burkina Faso,2024,787,1684,241,30.62261753494282,284,16.87,0.89,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Bulgaria,2024,15052,38634,6498,43.1703428115865,11698,30.28,5.82,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Bahrain,2024,5113,37956,69,1.3495012712693135,108,0.28,0.03,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Burundi,2024,132,488,77,58.333333333333336,368,75.42,-0.39,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Benin,2024,507,1006,68,13.41222879684418,38,3.75,0.45,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Brunei,2024,1145,5551,5,0.43668122270742354,6,0.1,0.01,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Bolivia,2024,4386,13532,1298,29.594163246694027,4598,33.98,0.66,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Brazil,2024,264788,737075,213841,80.75932444068462,650139,88.21,-0.91,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Bahamas,2024,706,2249,22,3.1161473087818696,22,0.96,0.1,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Bhutan,2024,2465,11001,2456,99.63488843813387,11001,100.0,0.0,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Botswana,2024,762,3426,10,1.3123359580052494,7,0.2,0.01,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Belarus,2024,12704,45832,624,4.91183879093199,1414,3.09,-0.13,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Belize,2024,173,468,98,56.64739884393064,411,87.89,-0.11,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Canada,2024,161946,611345,111326,68.74266730885604,404812,66.22,-0.27,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Democratic Republic of the Congo,2024,3294,15921,3216,97.632058287796,15917,99.97,0.0,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Central African Republic,2024,131,142,59,45.038167938931295,141,99.22,0.0,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Republic of the Congo,2024,842,5468,227,26.959619952494062,1143,20.91,-2.59,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Switzerland,2024,28895,75066,12441,43.05589202284133,53162,70.82,3.07,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Côte d'Ivoire,2024,2651,10793,919,34.66616371180686,3121,28.91,-1.2,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Chile,2024,38251,88612,23974,62.6754856082194,62063,70.04,6.9,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Cameroon,2024,1795,7269,877,48.85793871866295,5319,73.17,-0.14,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
China,2024,3376721,10161504,1818261,53.846942048217784,3480263,34.25,3.46,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Colombia,2024,19907,115253,15038,75.54126689104336,82994,72.01,3.22,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Costa Rica,2024,3726,11006,3172,85.13150831991412,10996,99.91,0.02,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Cuba,2024,6726,19438,817,12.146892655367232,785,4.04,0.32,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Cabo Verde,2024,205,522,58,28.292682926829265,162,31.07,2.22,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Cyprus,2024,2406,5526,896,37.2402327514547,1327,24.02,3.6,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Czechia,2024,23488,73664,6453,27.473603542234333,13585,18.44,3.22,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Djibouti,2024,210,203,80,38.095238095238095,71,34.96,0.26,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Denmark,2024,20919,34521,13539,64.72106697260863,30942,89.63,0.31,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Dominica,2024,42,154,9,21.428571428571427,24,15.62,0.0,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Dominican Republic,2024,7164,24031,2564,35.79006141820212,4531,18.86,1.59,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Algeria,2024,22599,96368,738,3.26563122262047,1038,1.08,0.13,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Ecuador,2024,8482,32659,5482,64.63098325866541,23660,72.45,-1.16,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Estonia,2024,3892,5342,2202,56.577595066803696,3385,63.36,11.5,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Egypt,2024,63452,218504,7752,12.217108995776336,26848,12.29,0.21,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Eritrea,2024,231,455,26,11.255411255411255,55,12.01,2.09,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Ethiopia,2024,6780,16644,6346,93.59882005899705,16642,99.99,0.0,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Finland,2024,28272,79278,15903,56.25,44952,56.7,3.99,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Fiji,2024,432,1152,226,52.31481481481482,734,63.76,0.06,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Gabon,2024,795,2606,344,43.27044025157233,924,35.46,-0.12,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Grenada,2024,70,245,4,5.714285714285714,5,1.95,0.2,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Georgia,2024,4784,13934,3668,76.67224080267559,11122,79.82,3.71,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Ghana,2024,5963,24271,1780,29.850746268656714,8791,36.22,-2.3,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
The Gambia,2024,187,512,26,13.903743315508022,5,1.06,0.08,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Guinea,2024,1281,4029,831,64.87119437939111,3029,75.18,0.79,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Equatorial Guinea,2024,349,1493,127,36.38968481375358,400,26.8,2.41,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Guatemala,2024,5029,15790,2704,53.76814476038974,10790,68.33,1.03,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Guinea-Bissau,2024,42,86,2,4.761904761904762,3,3.97,0.47,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Guyana,2024,413,1385,65,15.738498789346247,46,3.35,0.15,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Hong Kong,2024,12761,37435,392,3.071859572133845,385,1.03,0.08,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Honduras,2024,3491,12480,1906,54.597536522486386,6920,55.45,1.1,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Croatia,2024,5919,14696,4088,69.06572056090556,10686,72.72,2.24,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Haiti,2024,482,865,82,17.012448132780083,165,19.03,-3.12,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Hungary,2024,16577,36982,8621,52.005791156421544,12220,33.04,6.19,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Indonesia,2024,99915,404858,13591,13.602562177851174,70693,17.46,-0.58,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Israel,2024,23743,76736,5981,25.190582487469992,8055,10.5,0.17,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
India,2024,531460,2051785,204107,38.40495992172506,412082,20.08,0.27,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Iraq,2024,27239,149730,1599,5.870259554315504,2430,1.62,0.41,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Iran,2024,96002,388866,12961,13.500760400824982,19792,5.09,1.35,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Iceland,2024,2946,19057,2946,100.0,19053,99.98,0.0,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Jamaica,2024,1132,4922,281,24.823321554770317,622,12.64,0.48,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Jordan,2024,7438,23675,2725,36.63619252487228,5703,24.09,2.14,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Kenya,2024,3743,13263,2791,74.56585626502805,12133,91.48,1.69,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Kyrgyzstan,2024,3992,15770,3258,81.6132264529058,14000,88.77,2.33,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Cambodia,2024,4037,18095,2288,56.675749318801095,7930,43.83,2.18,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Kiribati,2024,11,33,2,18.181818181818183,7,20.59,2.06,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Comoros,2024,33,135,4,12.121212121212121,0,0.0,0.0,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Saint Kitts and Nevis,2024,74,223,7,9.45945945945946,12,5.26,0.3,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
North Korea,2024,8436,27098,5056,59.93361782835467,17170,63.36,0.67,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
South Korea,2024,159718,577807,33796,21.159794137166756,56018,9.69,0.92,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Kuwait,2024,19421,92495,114,0.5869934606868853,2076,2.24,0.11,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Kazakhstan,2024,27389,122786,5428,19.818175179816716,16216,13.21,0.79,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Laos,2024,12741,52306,9941,78.02370300604348,40126,76.71,0.0,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Lebanon,2024,4628,5335,1297,28.02506482281763,2335,43.77,9.69,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Saint Lucia,2024,94,399,5,5.319148936170213,9,2.29,0.27,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Sri Lanka,2024,6412,16621,3612,56.33187772925764,9121,54.88,1.7,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Liberia,2024,205,568,97,47.3170731707317,307,54.01,-3.6,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Lesotho,2024,105,4,104,99.04761904761905,3,67.43,0.76,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Lithuania,2024,7489,5764,4658,62.19789023901723,5226,90.65,1.96,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Luxembourg,2024,2332,1024,861,36.921097770154375,1375,,,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Latvia,2024,3442,5913,2282,66.29866356769321,4234,71.6,-6.01,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Libya,2024,11424,34596,8,0.0700280112044818,11,0.03,0.0,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Morocco,2024,15700,42296,4840,30.828025477707005,10349,24.47,2.73,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Moldova,2024,1013,6066,538,53.10957551826259,645,10.64,1.05,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Montenegro,2024,1070,3787,845,78.97196261682244,2357,62.24,1.33,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Madagascar,2024,875,2421,251,28.685714285714287,1021,42.18,-1.7,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
North Macedonia,2024,2959,6169,1633,55.187563366002024,2345,38.01,6.61,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Mali,2024,1325,5963,635,47.924528301886795,1163,19.51,-0.33,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Myanmar,2024,7432,21710,3544,47.68568353067815,10390,47.86,1.36,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Mongolia,2024,1611,8828,328,20.360024829298574,787,8.92,-0.27,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Mauritania,2024,847,2073,342,40.37780401416765,473,22.8,1.12,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Malta,2024,725,2120,237,32.689655172413794,319,15.03,1.1,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Mauritius,2024,987,3406,303,30.69908814589666,609,17.89,0.29,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Maldives,2024,470,855,70,14.893617021276595,65,7.64,0.85,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Malawi,2024,784,1838,521,66.45408163265306,1762,95.83,0.0,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Mexico,2024,99589,386834,34037,34.17746939923084,73751,19.07,1.78,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Malaysia,2024,38973,195318,9470,24.298873579144537,38318,19.62,0.27,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Mozambique,2024,2888,19790,2398,83.03324099722992,16508,83.42,-0.16,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Namibia,2024,663,1652,519,78.28054298642535,1603,97.03,-1.07,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Niger,2024,380,949,83,21.842105263157897,27,2.88,0.41,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Nigeria,2024,14146,37555,3026,21.39120599462746,9388,25.0,2.32,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Nicaragua,2024,1866,4521,765,40.9967845659164,2821,62.39,-0.01,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Netherlands,2024,61509,119546,36641,59.57014420653888,63401,53.03,3.58,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Norway,2024,40422,155019,38545,95.35648904062144,154068,99.39,0.26,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Nepal,2024,3535,11125,3475,98.3026874115983,11124,100.0,0.0,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Nauru,2024,19,43,3,15.789473684210526,6,13.41,1.45,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
New Zealand,2024,11028,43995,8668,78.59992745738121,37830,85.99,-3.61,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Oman,2024,11589,46472,722,6.230045733022694,2054,4.42,0.42,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Panama,2024,4581,13435,3181,69.438987120716,9135,67.99,7.35,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Peru,2024,16805,59303,7405,44.0642665873252,35646,60.11,5.73,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Papua New Guinea,2024,1151,4728,399,34.66550825369244,1118,23.64,0.01,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Philippines,2024,31035,124158,9299,29.96294506202674,25410,20.47,-0.95,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
Pakistan,2024,46569,151857,14307,30.722154222766218,50202,33.06,3.25,https://countryeconomy.com/energy-and-environment/electricity-generation?year=2024
