Rank,Country,EV_Adoption,EV_Penetration,Charging_Infrastructure,National_Readiness,Clean_Energy_Readiness,EV_Transition_Readiness_Index_2024
1,Norway,10.0,6.96,8.86,7.75,9.75,86.63
2,Iceland,8.24,7.31,9.29,7.64,10.0,84.96
3,Denmark,8.51,6.99,8.42,5.04,7.84,73.61
4,Sweden,8.19,6.71,7.78,5.58,7.86,72.23
5,Netherlands,7.74,7.64,8.25,5.05,4.91,67.16
6,Finland,7.41,6.36,7.58,5.52,6.53,66.82
7,Austria,5.97,6.4,7.52,5.03,7.67,65.16
8,Belgium,7.6,7.12,7.26,4.86,5.09,63.87
9,Switzerland,6.55,6.05,6.94,5.73,6.65,63.86
10,Lithuania,4.39,7.0,8.67,3.48,7.59,62.25
11,Latvia,4.39,7.42,9.39,2.84,6.63,61.32
12,Ireland,5.24,6.4,7.65,7.25,4.11,61.28
13,Estonia,4.18,7.72,9.89,3.46,5.26,61.03
14,Slovenia,3.95,7.3,9.17,4.06,5.07,59.09
15,Portugal,6.07,5.52,6.22,3.5,7.51,57.66
16,Germany,5.95,5.92,6.79,4.63,5.34,57.26
17,Croatia,3.41,6.72,8.19,3.31,6.77,56.82
18,France,5.74,6.11,6.98,4.34,4.97,56.31
19,China,7.74,6.23,7.57,2.95,3.4,55.77
20,Canada,5.28,5.09,5.3,5.48,6.69,55.68
21,Cyprus,4.39,7.73,9.91,3.55,1.84,54.83
22,South Korea,4.13,7.48,8.62,5.12,1.3,53.29
23,United Kingdom,6.39,5.54,6.03,3.67,4.98,53.22
24,New Zealand,4.51,4.05,3.9,4.38,8.12,49.93
25,Hungary,4.39,5.85,6.72,3.31,4.66,49.85
26,Spain,3.88,5.22,5.66,3.77,6.2,49.48
27,Slovakia,3.39,6.39,7.64,3.25,4.04,49.44
28,Bulgaria,3.43,6.23,7.36,3.16,4.12,48.6
29,Costa Rica,4.29,4.19,3.35,1.68,9.42,45.87
30,Romania,3.71,5.22,5.61,2.47,5.67,45.34
31,Italy,3.35,5.41,5.64,3.97,4.29,45.3
32,United States,4.18,4.77,4.97,6.21,2.46,45.17
33,Czech Republic,3.76,5.73,6.51,3.91,2.56,44.92
34,Israel,5.94,5.23,5.74,4.15,0.48,43.09
35,Greece,3.63,4.97,4.68,3.13,4.6,42.02
36,Australia,4.12,3.98,3.91,5.16,3.36,41.06
37,Turkey,3.66,3.71,3.06,2.76,4.13,34.64
38,Brazil,2.56,3.19,1.3,1.74,8.42,34.42
39,Poland,2.75,4.2,3.8,3.38,2.75,33.75
40,Chile,1.05,3.96,2.37,2.7,6.3,32.77
41,Japan,1.98,4.19,3.88,4.16,2.1,32.61
42,Vietnam,5.39,3.17,1.92,1.27,4.05,31.61
43,Uzbekistan,2.44,5.31,4.59,0.79,0.49,27.25
44,Thailand,3.72,3.91,3.47,1.79,0.64,27.06
45,Colombia,2.79,2.51,0.62,0.77,6.53,26.45
46,Russia,1.13,4.23,2.19,3.91,1.4,25.74
47,Jordan,4.39,2.94,1.97,0.61,1.82,23.46
48,Malaysia,1.79,2.9,1.85,3.08,1.03,21.31
49,India,1.29,4.35,1.69,0.01,1.68,18.03
50,Mexico,1.14,2.15,0.41,1.66,1.56,13.82
51,Indonesia,2.6,2.39,0.39,0.5,0.45,12.68
52,South Africa,0.0,2.82,0.08,1.54,0.35,9.58
